"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep reinforcement learning based mobile robot navigation: A review","K. Zhu; T. Zhang","Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China","Tsinghua Science and Technology","20 Apr 2021","2021","26","5","674","691","Navigation is a fundamental problem of mobile robots, for which Deep Reinforcement Learning (DRL) has received significant attention because of its strong representation and experience learning abilities. There is a growing trend of applying DRL to mobile robot navigation. In this paper, we review DRL methods and DRL-based navigation frameworks. Then we systematically compare and analyze the relationship and differences between four typical application scenarios: local obstacle avoidance, indoor navigation, multi-robot navigation, and social navigation. Next, we describe the development of DRL-based navigation. Last, we discuss the challenges and some possible solutions regarding DRL-based navigation.","1007-0214","","10.26599/TST.2021.9010012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9409758","mobile robot navigation;obstacle avoidance;deep reinforcement learning","Navigation;Mobile robots;Reinforcement learning;Simultaneous localization and mapping;Robots;Task analysis;Robot sensing systems","collision avoidance;control engineering computing;deep learning (artificial intelligence);mobile robots;multi-robot systems;navigation","fundamental problem;mobile robots;strong representation;experience learning abilities;mobile robot navigation;DRL methods;DRL-based navigation frameworks;indoor navigation;multirobot navigation;social navigation;deep reinforcement learning","","64","","","","20 Apr 2021","","","TUP","TUP Journals"
"Experimental Research on Deep Reinforcement Learning in Autonomous navigation of Mobile Robot","P. Yue; J. Xin; H. Zhao; D. Liu; M. Shan; J. Zhang","Shaanxi Key Laboratory of Integrated and Intelligent Navigation, CETC 20, Xi'an, China; Shaanxi Key Laboratory of Integrated and Intelligent Navigation, CETC 20, Xi'an, China; Xi'an University of Technology; Xi'an University of Technology, Xi'an, Shaanxi, CN; Xi'an University of Technology; Australian Centre for Field Robotics, The University of Sydney, Sydney, Australia","2019 14th IEEE Conference on Industrial Electronics and Applications (ICIEA)","16 Sep 2019","2019","","","1612","1616","The paper is concerned with the autonomous navigation of mobile robot from the current position to the desired position only using the current visual observation, without the environment map built beforehand. Under the framework of deep reinforcement learning, the Deep Q Network (DQN) is used to achieve the mapping from the original image to the optimal action of the mobile robot. Reinforcement learning requires a large number of training examples, which is difficult to directly be applied in a real robot navigation scenario. To solve the problem, the DQN is firstly trained in the Gazebo simulation environment, followed by the application of the well-trained DQN in the real mobile robot navigation scenario. Both simulation and real-world experiments have been conducted to validate the proposed approach. The experimental results of mobile robot autonomous navigation in the Gazebo simulation environment show that the trained DQN can approximate the state action value function of the mobile robot and perform accurate mapping from the current original image to the optimal action of the mobile robot. The experimental results in real indoor scenes demonstrate that the DQN trained in the simulated environment can work in the real indoor environment, and the mobile robot can also avoid obstacles and reach the target location even with dynamics and the presence of interference in the environment. It is therefore an effective and environmentally adaptable autonomous navigation method for mobile robots in an unknown environment.","2158-2297","978-1-5386-9490-9","10.1109/ICIEA.2019.8833968","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8833968","Deep reinforcement learning;DQN;mobile robot;nature scene;autonomous navigation","Mobile robots;Autonomous robots;Reinforcement learning;Training;Navigation;Games","collision avoidance;control engineering computing;learning (artificial intelligence);mobile robots;navigation;robot vision","deep reinforcement learning;DQN;mobile robot autonomous navigation;visual observation;deep Q network;Gazebo simulation environmen;indoor environment;obstacle avoidance","","6","","16","IEEE","16 Sep 2019","","","IEEE","IEEE Conferences"
"Deep Reinforcement Learning for Mobile Robot Navigation","M. Gromniak; J. Stenzel","Institute of Medical Technology, Technical University of Hamburg, Hamburg, Germany; Department of Automation and Embedded Systems, Fraunhofer Institute for Material Flow and Logistics, Dortmund, Germany","2019 4th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS)","19 Dec 2019","2019","","","68","73","While navigation is arguable the most important aspect of mobile robotics, complex scenarios with dynamic environments or with teams of cooperative robots are still not satisfactory solved yet. Motivated by the recent successes in the reinforcement learning domain, the application of deep reinforcement learning to robot navigation was examined in this paper. In particular this required the development of a training procedure, a set of actions available to the robot, a suitable state representation and a reward function. The setup was evaluated using a simulated real-time environment. A reference setup, different goal-oriented exploration strategies and two different robot kinematics (holonomic, differential) were compared in the evaluation. In a challenging scenario with obstacles at changing locations in the environment the robot was able to reach the desired goal in 93% of the episodes.","","978-1-7281-2229-8","10.1109/ACIRS.2019.8935944","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8935944","reinforcement learning;end-to-end-learning;mobile robot navigation;robot learning","Navigation;Reinforcement learning;Mobile robots;Robot sensing systems;Neural networks;Task analysis","control engineering computing;learning (artificial intelligence);mobile robots;navigation;neurocontrollers;path planning;robot kinematics;robot programming","deep reinforcement learning;mobile robot navigation;mobile robotics;dynamic environments;reinforcement learning domain;state representation;real-time environment;robot kinematics;goal-oriented exploration strategies;reward function;holonomic robot kinematic;differential robot kinematic","","4","","12","IEEE","19 Dec 2019","","","IEEE","IEEE Conferences"
"Socially Aware Robot Navigation Using Deep Reinforcement Learning","T. Xuan Tung; T. Dung Ngo","Truong Xuan Tung and Trung Dung Ngo are with The More-Than-One Robotics Laboratory, University of Prince Edward Island, Canada; Truong Xuan Tung and Trung Dung Ngo are with The More-Than-One Robotics Laboratory, University of Prince Edward Island, Canada","2018 IEEE Canadian Conference on Electrical & Computer Engineering (CCECE)","30 Aug 2018","2018","","","1","5","In this study, we propose a socially aware navigation framework for mobile service robots in dynamic human environments using a deep reinforcement learning algorithm. The primary idea of the proposed algorithm is to incorporate obstacles information (position and motion), human states (human position, human motion), social interactions (human group, human-object interaction), and social rules, e.g, minimum distances from the robot to regular obstacles, individuals, and human groups into the deep reinforcement learning model of a mobile robot. We then distribute the mobile robot into a dynamic social environment and let the mobile robot automatically learn to adapt to an embedded environment by its experiences gained through trial-and-error social interactions with the surrounding humans and objects. When the learning phase is completed, the mobile robot is able to navigate autonomously in the social environment while guaranteeing human safety and comfort with its socially acceptable behaviours.","2576-7046","978-1-5386-2410-4","10.1109/CCECE.2018.8447854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8447854","Socially aware robot navigation;social robots;mobile service robots;deep reinforcement learning. Socially aware robot navigation;deep reinforcement learning.S","Navigation;Mobile robots;Learning (artificial intelligence);Machine learning;Heuristic algorithms;Service robots","collision avoidance;human-robot interaction;learning (artificial intelligence);mobile robots;service robots","aware robot navigation;socially aware navigation framework;mobile service robots;dynamic human environments;deep reinforcement learning algorithm;human states;human position;human motion;human group;social rules;deep reinforcement learning model;mobile robot;dynamic social environment;learning phase;human safety;socially acceptable behaviours;trial-and-error social interactions","","4","","25","IEEE","30 Aug 2018","","","IEEE","IEEE Conferences"
"Mobile Robot Navigation based on Deep Reinforcement Learning","X. Ruan; D. Ren; X. Zhu; J. Huang","Beijing Key Laboratory of Computational Intelligence and Intelligent System, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent System, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent System, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent System, Beijing, China","2019 Chinese Control And Decision Conference (CCDC)","12 Sep 2019","2019","","","6174","6178","Learning to navigate in an unknown environment is a crucial capability of mobile robot. Conventional method for robot navigation consists of three steps, involving localization, map building and path planning. However, most of the conventional navigation methods rely on obstacle map, and dont have the ability of autonomous learning. In contrast to the traditional approach, we propose an end-to-end approach in this paper using deep reinforcement learning for the navigation of mobile robots in an unknown environment. Based on dueling network architectures for deep reinforcement learning (Dueling DQN) and deep reinforcement learning with double q learning (Double DQN), a dueling architecture based double deep q network (D3QN) is adapted in this paper. Through D3QN algorithm, mobile robot can learn the environment knowledge gradually through its wonder and learn to navigate to the target destination autonomous with an RGB-D camera only. The experiment results show that mobile robot can reach to the desired targets without colliding with any obstacles.","1948-9447","978-1-7281-0106-4","10.1109/CCDC.2019.8832393","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8832393","Robot Navigation;Deep Reinforcement Learning;Depth Image","Navigation;Robot sensing systems;Reinforcement learning;Deep learning;Mobile robots;Collision avoidance","collision avoidance;control engineering computing;image colour analysis;learning (artificial intelligence);mobile robots;navigation;neural nets;robot programming;robot vision","deep reinforcement learning;double q learning;mobile robot navigation;autonomous learning;path planning;map building;dueling architecture based double deep q network;D3QN algorithm","","38","","16","IEEE","12 Sep 2019","","","IEEE","IEEE Conferences"
"Continuous Control with Deep Reinforcement Learning for Mobile Robot Navigation","J. Xiang; Q. Li; X. Dong; Z. Ren","School of Automation Science and Electrical Engineering, Beihang University, Beijing, P.R. China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, P.R. China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, P.R. China; Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University, Beijing, P.R. China","2019 Chinese Automation Congress (CAC)","13 Feb 2020","2019","","","1501","1506","Autonomous navigation is one of the focuses in the field of mobile robot research. The traditional method usually consists of two parts: building the map of environment, localization of mobile robot and path planning. However, these traditional methods usually rely on high-precision sensor information. At the same time, mobile robots have no intelligent understanding of autonomous navigation. In this article, a deep reinforcement learning method, i.e. soft actor critic, is used to navigate in a mapless environment. It takes laser scanning data and information of the target as input, outputs linear velocity and angular velocity in continuous space. The simulation shows that this learning-based end-to-end autonomous navigation method can accomplish tasks as well as traditional methods.","2688-0938","978-1-7281-4094-0","10.1109/CAC48633.2019.8996652","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8996652","Mobile Robot;Deep Reinforcement Learning;Soft Actor Critic;Autonomous navigation","Mobile robots;Machine learning;Navigation;Autonomous robots;Entropy;Lasers","angular velocity control;control engineering computing;learning (artificial intelligence);mobile robots;navigation;path planning;robot vision","continuous control;mobile robot navigation;mobile robot research;path planning;high-precision sensor information;mobile robots;intelligent understanding;deep reinforcement learning method;mapless environment;laser scanning data;continuous space;learning-based end-to-end autonomous navigation method","","10","","17","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"Deep Reinforcement Learning Based Mobile Robot Navigation in Unknown Environment with Continuous Action Space","P. Phueakthong; J. Varagul; N. Pinrath","School of Mechatronics Engineering, Suranaree University of Technology, Nakhon Ratchasima, Thailand; School of Manufacturing Automation and Robotics Engineering Suranaree University of Technology, Nakhon Ratchasima, Thailand; School of Industrial Engineering Suranaree University of Technology, Nakhon Ratchasima, Thailand","2022 5th International Conference on Intelligent Autonomous Systems (ICoIAS)","8 Nov 2022","2022","","","154","158","This work aims to propose the use of deep reinforcement learning for mobile robot navigation and obstacle avoidance in previously unknown areas or without pre-made maps with continuous action control to increase the capabilities of mobile robots beyond conventional map-based navigation. Deep reinforcement learning is used to enable the robot to learn how to make decisions and interact with the environment observed from sensor data to safely navigate itself to its destination. The robot has a two-dimensional laser scanner, ultrasonic sensors and odometry sensor. Deep Deterministic Policy Gradient, which can function in continuous action space, was chosen as the deep reinforcement learning model. The robot is trained and tested in a Gazebo simulator with Robot Operating System. After the training process, the robot is put to the challenge to complete a waypoint navigation mission in four unknown areas as part of an assessment. The results indicate that the mobile robot is adaptable and has the capability of traveling to the specified waypoints and completing the job without the need for a pre-drawn route or an obstacle map in unidentified environments with the minimum success rate of 69.7 percent.","","978-1-6654-9838-8","10.1109/ICoIAS56028.2022.9931272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9931272","deep reinforcement learning;autonomous navigation;DDPG","Training;Navigation;Autonomous systems;Operating systems;Reinforcement learning;Robot sensing systems;Laser modes","collision avoidance;control engineering computing;deep learning (artificial intelligence);mobile robots;navigation;reinforcement learning;robot programming","continuous action control;continuous action space;deep deterministic policy gradient;deep reinforcement learning model;Gazebo simulator;mobile robot navigation;obstacle avoidance;odometry sensor;robot operating system;training process;two-dimensional laser scanner;ultrasonic sensors;unknown areas;unknown environment;waypoint navigation mission","","","","16","IEEE","8 Nov 2022","","","IEEE","IEEE Conferences"
"End-to-End Mobile Robot Navigation using a Residual Deep Reinforcement Learning in Dynamic Human Environments","A. Ahmed; Y. F. O. Mohammad; V. Parque; H. El-Hussieny; S. Ahmed","Department of Mechatronics and Robotics Engineering, Egypt-Japan University of Science and Technology, Alexandria, Egypt; National Institute of Advanced Industrial Science and Technology, Tokyo, Japan; Department of Modern Mechanical Engineering, Waseda University, Tokyo, Japan; Department of Mechatronics and Robotics Engineering, Egypt-Japan University of Science and Technology, Alexandria, Egypt; Department of Mechatronics and Robotics Engineering, Egypt-Japan University of Science and Technology, Alexandria, Egypt","2022 18th IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications (MESA)","10 Jan 2023","2022","","","1","6","Safe navigation through human crowds is key to enabling practical mobility ubiquitously. The Deep Reinforcement Learning (DRL) and the End-to-End (E2E) approaches to goal-oriented robot navigation have the potential to render policies able to tackle localization, path planning, obstacle avoidance, and adaptation to change in unison. In this paper, we report an architecture based on convolutional units and residual blocks being able to enhance adaptability to unseen and dynamic human environments. In particular, our scheme outperformed the state-of-the-art baselines SOADRL and NAVREP by about 13% and 18% on average success rate, respectively, throughout 27 unseen and dynamic navigation instances. Furthermore, our approach avoids the explicit encoding of positions and trajectories of moving humans compared to the standard models. Our results show the potential to render adaptive and generalizable policies for unknown and dynamic human environments.","","978-1-6654-5570-1","10.1109/MESA55290.2022.10004394","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10004394","Autonomous Navigation;Mobile Robots;End-to-End Learning;Deep Reinforcement Learning;Convolutional Neural Networks;Dynamic Environments","Deep learning;Training;Adaptation models;Navigation;Computational modeling;Reinforcement learning;Data models","collision avoidance;deep learning (artificial intelligence);mobile robots;reinforcement learning","adaptive policies;dynamic human environments;dynamic navigation instances;end-to-end mobile robot navigation;generalizable policies;goal-oriented robot navigation;human crowds;NAVREP;residual blocks;residual deep reinforcement learning;safe navigation;SOADRL","","","","18","IEEE","10 Jan 2023","","","IEEE","IEEE Conferences"
"Asynchronous deep reinforcement learning for the mobile robot navigation with supervised auxiliary tasks","T. Tongloy; S. Chuwongin; K. Jaksukam; C. Chousangsuntorn; S. Boonsang","Center of Industrial Robots and Automation (CiRA), King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand; Center of Industrial Robots and Automation (CiRA), King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand; King Mongkut's Institute of Technology Ladkrabang, Bangkok, TH; Department of Electrical Engineering, King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand; Department of Electrical Engineering, King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand","2017 2nd International Conference on Robotics and Automation Engineering (ICRAE)","15 Feb 2018","2017","","","68","72","In this paper, we present the method based on asynchronous deep reinforcement learning adapted for the mobile robot navigation with supervised auxiliary tasks. We apply the hybrid Asynchronous Advantage Actor-Critic (A3C) algorithm CPU/GPU based on TensorFlow. The mobile robot is simulated as the navigation tasks on the OpenAI-Gym-Gazebo-based environment with the collaboration with ROS Multimaster. The supervised auxiliary tasks include the depth predictions and the robot position estimation. The simulated mobile robot shows the capability to learn to navigate only the input from raw RGB-image and also perform recognition of the place on the map. We also show that the combination of all possible auxiliary tasks leads to the different learning rate.","","978-1-5386-1306-1","10.1109/ICRAE.2017.8291355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291355","component;asynchronous reinforcement learning;GA3C;ROS;supervised auxiliary tasks;mobile robot navigation","Task analysis;Navigation;Mobile robots;Computational modeling;Adaptation models;Machine learning","control engineering computing;learning (artificial intelligence);mobile robots;path planning","learning rate;hybrid asynchronous advantage actor;OpenAI-Gym-Gazebo-based environment;ROS multimaster;TensorFlow;depth prediction;navigation tasks;supervised auxiliary tasks;mobile robot navigation;asynchronous deep reinforcement learning;simulated mobile robot;robot position estimation","","10","","12","IEEE","15 Feb 2018","","","IEEE","IEEE Conferences"
